"eventtime","user_arn","eventname","awsregion","sourceipaddress","errorcode","request_count","useragent"
"2019-06-25T04:00:21Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"28","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-06-25T03:38:59Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"26","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-06-25T03:58:25Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"24","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-06-25T03:58:11Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"22","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-06-25T04:00:02Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"22","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-06-25T03:58:10Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"14","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-08-02T19:46:58Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","251.252.23.95",,"12","aws-cli/1.16.61 Python/3.6.5 Linux/4.12.14-lp150.12.64-default botocore/1.12.57"
"2019-06-25T03:58:26Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"12","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-07-14T01:45:12Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","252.6.250.250",,"12","aws-cli/1.16.190 Python/3.7.4 Darwin/18.6.0 botocore/1.12.180"
"2019-02-27T01:00:14Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"12","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
"2019-06-25T04:00:01Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"10","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-07-04T15:05:07Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","172.204.230.46",,"10","aws-cli/1.16.192 Python/3.7.3 Linux/4.15.0-54-generic botocore/1.12.182"
"2019-08-17T22:55:19Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","134.161.208.254",,"10","aws-cli/1.14.44 Python/3.6.5 Linux/4.4.0-53329-Microsoft botocore/1.8.48"
"2019-05-30T08:37:56Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","4.239.255.179",,"10","aws-cli/1.16.168 Python/3.6.7 Linux/4.15.0-50-generic botocore/1.12.158"
"2019-02-27T01:01:28Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"10","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
"2019-08-17T22:36:28Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","134.161.208.254",,"8","aws-cli/1.14.44 Python/3.6.5 Linux/4.4.0-53329-Microsoft botocore/1.8.48"
"2019-02-27T00:58:01Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"8","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
"2019-03-26T17:33:34Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","251.252.39.140",,"8","aws-cli/1.16.130 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.120"
"2019-02-27T01:00:39Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"8","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
"2019-02-16T21:50:38Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","222.60.222.9",,"8","aws-cli/1.16.100 Python/3.7.2 Darwin/18.2.0 botocore/1.12.90"
"2019-02-27T01:01:10Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"8","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
"2019-05-01T02:44:11Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","253.252.7.168",,"8","aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138"
"2019-02-27T00:58:08Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"8","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
"2019-08-01T21:37:07Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","98.77.250.213",,"8","aws-cli/1.16.176 Python/3.7.3 Darwin/18.6.0 botocore/1.12.166"
"2019-07-12T06:22:27Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","252.244.254.16",,"6","aws-cli/1.16.196 Python/2.7.16 Linux/4.19.0-kali5-amd64 botocore/1.12.186"
"2019-09-01T23:48:32Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","70.205.255.2",,"6","aws-cli/1.15.71 Python/3.7.4 Linux/5.0.8-200.fc29.x86_64 botocore/1.10.41"
"2019-03-26T17:32:34Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","251.252.39.140",,"6","aws-cli/1.16.130 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.120"
"2019-02-27T00:56:59Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"6","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
"2019-06-25T03:39:00Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"6","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-05-01T02:44:55Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","253.252.7.168",,"6","aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138"
"2019-07-14T13:58:56Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","9.254.252.62",,"6","aws-cli/1.16.120 Python/3.7.4 Darwin/18.6.0 botocore/1.12.110"
"2019-03-26T17:17:51Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","251.252.39.140",,"6","aws-cli/1.16.130 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.120"
"2019-03-02T08:20:47Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","5.39.170.3",,"6","aws-cli/1.16.116 Python/2.7.14 Darwin/18.2.0 botocore/1.12.106"
"2019-07-18T16:47:44Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","220.81.220.103",,"6","aws-cli/1.16.170 Python/3.7.4 Darwin/18.6.0 botocore/1.12.160"
"2019-05-30T08:23:30Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","4.239.255.179",,"6","aws-cli/1.16.168 Python/3.6.7 Linux/4.15.0-50-generic botocore/1.12.158"
"2019-05-10T12:27:43Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","143.252.238.253",,"6","aws-cli/1.16.155 Python/2.7.16 Darwin/18.5.0 botocore/1.12.145"
"2019-05-01T02:44:42Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","253.252.7.168",,"6","aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138"
"2019-02-16T21:50:46Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","222.60.222.9",,"6","aws-cli/1.16.100 Python/3.7.2 Darwin/18.2.0 botocore/1.12.90"
"2019-09-29T01:52:22Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","7.221.254.228",,"6","aws-cli/1.16.102 Python/2.7.16 Linux/4.14.138-114.102.amzn2.x86_64 botocore/1.12.92"
"2019-05-01T02:43:36Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","253.252.7.168",,"6","aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138"
"2019-02-24T00:39:48Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","111.9.248.2",,"6","aws-cli/1.16.106 Python/3.6.7 Linux/4.15.0-29-generic botocore/1.12.96"
"2019-03-26T17:18:21Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","251.252.39.140",,"6","aws-cli/1.16.130 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.120"
"2019-10-27T02:01:23Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","205.214.65.133",,"6","aws-cli/1.16.225 Python/3.6.8 Linux/4.4.0-039049-Microsoft botocore/1.12.227"
"2019-02-24T00:36:09Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","111.9.248.2",,"6","aws-cli/1.15.4 Python/2.7.10 Darwin/18.0.0 botocore/1.10.4"
"2019-05-01T02:43:28Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","253.252.7.168",,"6","aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138"
"2019-05-01T02:45:14Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","253.252.7.168",,"6","aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138"
"2019-06-13T23:06:26Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","0.52.31.206",,"6","aws-cli/1.16.113 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 botocore/1.12.103"
"2019-04-27T19:47:22Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","144.250.224.84",,"6","aws-cli/1.16.147 Python/3.7.1 Windows/10 botocore/1.12.137"
"2019-08-17T22:37:26Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","134.161.208.254",,"6","aws-cli/1.14.44 Python/3.6.5 Linux/4.4.0-53329-Microsoft botocore/1.8.48"
"2019-04-19T02:28:19Z","arn:aws:iam::811596193553:user/Level6","ListAccessKeys","us-east-1","201.206.250.6",,"6","Boto/2.10.0 (linux2)"
"2019-03-26T17:32:49Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","251.252.39.140",,"6","aws-cli/1.16.130 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.120"
"2019-02-24T00:37:41Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","111.9.248.2",,"6","aws-cli/1.16.106 Python/3.6.7 Linux/4.15.0-29-generic botocore/1.12.96"
"2019-07-04T15:06:59Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","172.204.230.46",,"6","aws-cli/1.16.192 Python/3.7.3 Linux/4.15.0-54-generic botocore/1.12.182"
"2019-06-25T04:00:22Z","arn:aws:iam::811596193553:user/Level6","DescribeInstances","us-west-1","45.250.7.228",,"6","Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170"
"2019-02-16T21:50:45Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","222.60.222.9",,"6","aws-cli/1.16.100 Python/3.7.2 Darwin/18.2.0 botocore/1.12.90"
"2019-04-27T19:47:12Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","144.250.224.84",,"6","aws-cli/1.16.147 Python/3.7.1 Windows/10 botocore/1.12.137"
"2019-05-30T08:23:29Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","4.239.255.179",,"6","aws-cli/1.16.168 Python/3.6.7 Linux/4.15.0-50-generic botocore/1.12.158"
"2019-02-27T00:56:58Z","arn:aws:iam::811596193553:user/Level6","ListPolicies","us-east-1","142.223.2.44",,"6","aws-cli/1.14.44 Python/3.6.6 Linux/4.9.93-boot2docker botocore/1.8.48"
