"eventTime","eventSource","MFAUsed","sourceIPAddress","userAgent"
"2017-02-18T19:20:48Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23%2Froles%2Fflaws&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-19T15:37:15Z","signin.amazonaws.com","{""LoginTo"":""https://us-west-2.console.aws.amazon.com/ec2/v2/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-21T04:35:07Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-24T01:38:25Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-26T17:48:22Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23%26bucket%3Dlevel2-295510a051f3fcd006ae345973478972.flaws.cloud%26prefix%3D&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-27T13:07:23Z","signin.amazonaws.com","{""LoginTo"":""https://us-west-2.console.aws.amazon.com/cloudtrail/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-28T01:24:10Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?state=hashArgs%23%2Faccount&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-28T17:35:07Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-02T00:06:14Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-03T03:45:55Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-03T22:26:05Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-04T23:22:17Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?ref_=pe_63962_92391&state=hashArgs%23%2Fbudgets&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-05T17:51:13Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?ref_=pe_63962_92391&state=hashArgs%23%2Fbill%3Fyear%3D2017%26month%3D3&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-08T05:22:38Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-10T22:47:43Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-03-14T01:49:36Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-03-25T20:57:27Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-04-01T18:46:57Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-04-03T00:44:29Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/trustedadvisor/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-04-09T21:33:24Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
"2017-05-16T03:02:01Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-16T23:03:08Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-24T17:20:52Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/trustedadvisor/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-26T16:12:49Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-28T16:40:16Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-29T16:30:01Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-31T19:07:35Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-06-29T12:45:45Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
"2017-07-09T00:29:06Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","4.215.200.148","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
"2017-07-11T02:32:32Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
"2017-07-12T20:23:49Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (X11; CrOS armv7l 9460.60.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.91 Safari/537.36"
"2017-07-17T16:18:27Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (X11; CrOS armv7l 9460.60.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.91 Safari/537.36"
"2017-09-17T14:39:26Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-east-2&state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","224.223.84.255","Mozilla/5.0 (X11; CrOS armv7l 9592.94.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.114 Safari/537.36"
"2017-10-09T03:30:46Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","224.223.84.255","Mozilla/5.0 (X11; CrOS armv7l 9592.96.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.114 Safari/537.36"
"2018-03-20T00:21:22Z","signin.amazonaws.com","{""AFAUsed"":""Yes""}","224.223.84.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
"2018-06-03T13:46:21Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","143.110.253.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36"
"2018-06-16T14:32:40Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","143.110.253.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36"
"2018-07-05T18:49:34Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","250.251.253.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
"2018-07-06T04:14:52Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","250.251.253.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
"2018-07-06T22:30:23Z","signin.amazonaws.com","{""LoginTo"":""https://us-west-2.console.aws.amazon.com/athena/home?force=&region=us-west-2&state=hashArgs%23query%2Fhistory%2F504408db6-fcea-4050-9cf1-e5cf3e94da9c&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","250.251.253.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
"2018-07-07T15:29:55Z","signin.amazonaws.com","{""LoginTo"":""https://s3.console.aws.amazon.com/s3/buckets/flaws-logs/cloudtrail/AWSLogs/811596193553/CloudTrail/us-east-1/2018/07/06/?region=us-west-2&state=hashArgs%23&tab=overview&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","250.251.253.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
"2018-07-10T16:45:55Z","signin.amazonaws.com","{""LoginTo"":""https://s3.console.aws.amazon.com/s3/buckets/flaws-logs/?region=us-west-2&state=hashArgs%23&tab=overview&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","250.251.253.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
"2018-08-05T16:50:57Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","250.251.253.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
"2018-08-18T03:19:14Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?region=us-east-1&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","84.251.178.39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
"2018-08-19T20:52:22Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Fusers&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","84.251.178.39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
"2018-08-20T13:55:18Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?region=us-east-1&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","84.251.178.39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
"2018-08-28T14:26:29Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","2.251.230.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
"2018-09-30T23:46:06Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","2.251.230.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
"2018-10-02T14:35:18Z","signin.amazonaws.com","{""LoginTo"":""https://us-west-2.console.aws.amazon.com/console/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","2.251.230.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
"2018-10-10T18:18:23Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","177.0.248.145","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
"2018-10-16T20:30:07Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","130.6.32.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
"2018-10-23T14:35:05Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","130.6.32.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36"
"2018-11-13T16:48:47Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","163.251.223.26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
"2018-12-02T15:35:27Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","130.6.32.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
"2019-03-03T16:27:05Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","2.7.223.252","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36"
"2019-08-23T15:47:30Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","228.139.46.252","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"2019-08-27T14:34:27Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","228.139.46.252","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"2020-05-22T18:09:17Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","252.1.22.60","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
"2020-08-06T15:57:23Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?region=us-east-1&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","252.1.22.60","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"2020-10-06T21:10:45Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","3.1.254.37","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"2020-10-07T15:52:02Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","3.1.254.37","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
